state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
sarawak,primary,female,1,101.1,100.73686227602448,0.36313772397551247,0.36313772397551247,0.36313772397551247,0.36313772397551247,0.36313772397551247,100.0
selangor,primary,female,1,99.1,99.45467771134622,-0.35467771134622694,0.35467771134622694,0.35467771134622694,0.35467771134622694,0.35467771134622694,100.0
negeri sembilan,secondary_lower,female,1,99.8,99.48339950970112,0.3166004902988817,0.3166004902988817,0.3166004902988817,0.3166004902988817,0.3166004902988817,100.0
perak,secondary_lower,female,1,99.4,99.69025810756489,-0.29025810756488113,0.29025810756488113,0.29025810756488113,0.29025810756488113,0.29025810756488113,100.0
kedah,secondary_upper,male,1,98.7,98.45882269085368,0.24117730914632318,0.24117730914632318,0.24117730914632318,0.24117730914632318,0.24117730914632318,100.0
perak,primary,male,1,99.1,98.90672801493842,0.19327198506157117,0.19327198506157117,0.19327198506157117,0.19327198506157117,0.19327198506157117,100.0
terengganu,secondary_lower,female,1,99.9,99.7267868157366,0.17321318426340326,0.17321318426340326,0.17321318426340326,0.17321318426340326,0.17321318426340326,100.0
sarawak,primary,male,1,100.3,100.13376501398864,0.16623498601136077,0.16623498601136077,0.16623498601136077,0.16623498601136077,0.16623498601136077,100.0
melaka,secondary_upper,male,1,97.1,96.95139759499368,0.14860240500631505,0.14860240500631505,0.14860240500631505,0.14860240500631505,0.14860240500631505,100.0
pahang,secondary_upper,female,1,99.5,99.3982289921221,0.10177100787790039,0.10177100787790039,0.10177100787790039,0.10177100787790039,0.10177100787790039,100.0
kedah,secondary_upper,female,1,99.6,99.5495406201978,0.050459379802191506,0.050459379802191506,0.050459379802191506,0.050459379802191506,0.050459379802191506,100.0
terengganu,secondary_upper,male,1,98.8,98.83627881457471,-0.0362788145747146,0.0362788145747146,0.0362788145747146,0.0362788145747146,0.0362788145747146,100.0
melaka,secondary_upper,female,1,98.3,98.31183609246864,-0.011836092468641368,0.011836092468641368,0.011836092468641368,0.011836092468641368,0.011836092468641368,100.0
