state,year,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households
perak,2021,684000,824200,0.8298956563940791,1.2049707602339181,13.435714658591923
perak,2022,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178
perak,2023,706800,856500,0.8252189141856392,1.211799660441426,13.468504434254069
perak,2024,718500,873100,0.8229297904020159,1.215170494084899,13.484922376288697
perlis,1970,25175,26461,0.9514001738407467,1.051082423038729,10.133646438744243
perlis,1980,32009,33605,0.9525070674006845,1.049860976600331,10.37380363296391
perlis,1991,39973,44576,0.8967381550610194,1.1151527280914617,10.595984521754486
perlis,2000,44863,50242,0.892938179212611,1.1198983572208725,10.711390970394262
perlis,2010,54260,61300,0.8851549755301794,1.1297456690011058,10.901561015825624
perlis,2011,54800,62700,0.8740031897926634,1.1441605839416058,10.911463720944793
perlis,2012,55300,63400,0.8722397476340694,1.1464737793851718,10.920546270529568
perlis,2013,56000,64200,0.8722741433021807,1.1464285714285714,10.933124826700707
perlis,2014,56600,64900,0.8721109399075501,1.146643109540636,10.943781931879723
perlis,2015,57400,65700,0.8736681887366818,1.1445993031358885,10.957817003758691
perlis,2016,58200,66500,0.8751879699248121,1.1426116838487972,10.971657815702502
perlis,2017,59000,67400,0.8753709198813057,1.1423728813559322,10.985309671896763
perlis,2018,59900,68300,0.87701317715959,1.1402337228714525,11.000448478455008
perlis,2019,60800,69200,0.8786127167630058,1.138157894736842,11.015361515187424
perlis,2020,80850,73104,1.1059586342744583,0.9041929499072356,11.30036323351256
perlis,2021,84300,74400,1.1330645161290323,0.8825622775800712,11.342149006315793
perlis,2022,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818
perlis,2023,91300,77200,1.182642487046632,0.8455640744797371,11.421917019425596
perlis,2024,94900,78600,1.2073791348600509,0.8282402528977871,11.460589521950299
pulau pinang,1970,134514,123405,1.0900206636684089,0.9174138007939694,11.809430995969242
pulau pinang,1980,164242,156624,1.0486387782204516,0.9536172233655216,12.00910231747826
pulau pinang,1991,212663,229473,0.9267451944237448,1.0790452499964733,12.267468734395248
pulau pinang,2000,280903,355436,0.7903054277000642,1.2653335849029737,12.54576825293399
pulau pinang,2010,400110,480400,0.8328684429641965,1.2006698158006548,12.899497287594116
pulau pinang,2011,410500,491300,0.8355383675961734,1.1968331303288673,12.925133643925246
pulau pinang,2012,420800,499800,0.8419367747098839,1.1877376425855513,12.949915316828669
pulau pinang,2013,430900,508200,0.8478945297127115,1.179391970294732,12.973633644325302
pulau pinang,2014,440800,516700,0.8531062512095994,1.1721869328493648,12.996348805420809
pulau pinang,2015,450700,525100,0.858312702342411,1.1650765475926337,13.018559427447078
pulau pinang,2016,460600,533600,0.8631934032983508,1.158488927485888,13.040287437447564
pulau pinang,2017,470400,542000,0.8678966789667897,1.1522108843537415,13.061340801414635
pulau pinang,2018,480200,550300,0.8726149373069235,1.1459808413161183,13.08196004523276
pulau pinang,2019,489700,558600,0.876655925528106,1.1406983867674085,13.101550279754894
pulau pinang,2020,495347,587008,0.8438505097034452,1.1850440196468335,13.113015824843817
pulau pinang,2021,507600,600500,0.8452955870108243,1.1830181245074862,13.13745098487559
pulau pinang,2022,519900,614100,0.8466047874938935,1.1811886901327178,13.161393687816775
pulau pinang,2023,532400,627900,0.8479057174709349,1.1793764087152516,13.185152243788332
pulau pinang,2024,545100,641900,0.8491976943449135,1.1775820950284352,13.208726377576465
sabah,1970,120922,17990,6.721623123957754,0.14877358958667572,11.702909258377234
sabah,1980,177825,187585,0.9479702534850868,1.054885421060031,12.08856082309216
sabah,1991,336602,369592,0.9107394099439382,1.0980089244864855,12.726659473355097
sabah,2000,478775,522802,0.9157864736554183,1.0919576001253197,13.078988126096357
sabah,2010,590990,621600,0.9507561132561133,1.0517944466065416,13.289556067845886
sabah,2011,604400,634700,0.9522609106664566,1.050132362673726,13.311993163912774
sabah,2012,617900,642100,0.9623111664849712,1.0391649134164105,13.334083529432613
sabah,2013,631200,649600,0.9716748768472906,1.02915082382763,13.355379632796451
sabah,2014,643800,657100,0.9797595495358393,1.020658589624107,13.375144951123055
sabah,2015,655400,664800,0.9858604091456077,1.0143423863289593,13.393002541031468
sabah,2016,667000,672500,0.9918215613382899,1.0082458770614693,13.410546824147012
sabah,2017,678800,680200,0.9979417818288738,1.0020624631703006,13.428083285529102
sabah,2018,690600,688100,1.0036331928498765,0.9963799594555459,13.4453175119532
sabah,2019,702700,695900,1.0097715188963932,0.9903230397039988,13.462686760261674
sabah,2020,728201,777023,0.9371678830613765,1.0670446758518597,13.498333761217914
sabah,2021,747200,795700,0.9390473796657032,1.0649089935760172,13.524089504225639
sabah,2022,766600,814800,0.9408443789887089,1.0628750326115315,13.549721736388998
sabah,2023,786300,834300,0.9424667385832435,1.0610454025181228,13.575094949758018
sabah,2024,806300,854000,0.9441451990632318,1.05915912191492,13.600212400905509
sarawak,1970,163365,26888,6.0757587027670334,0.1645884981483182,12.003748361421366
sarawak,1980,226585,231537,0.9786124895804991,1.0218549330273408,12.330879842790086
sarawak,1991,329558,364399,0.9043877727436135,1.1057203891272553,12.705510676076093
sarawak,2000,421973,476377,0.8857963335761382,1.1289276802070274,12.952698979745682
sarawak,2010,558440,601700,0.9281037061658634,1.07746579757897,13.232904251803653
sarawak,2011,570200,613500,0.9294213528932356,1.0759382672746405,13.253744209229778
sarawak,2012,582300,622700,0.9351212461859644,1.0693800446505237,13.274742775151575
sarawak,2013,594300,632000,0.9403481012658228,1.0634359750967526,13.295141204005196
sarawak,2014,606000,641200,0.9451029320024953,1.058085808580858,13.314636915215106
sarawak,2015,617900,650600,0.9497387027359361,1.0529211846577116,13.334083529432613
sarawak,2016,630000,659900,0.9546901045612972,1.0474603174603174,13.353476685668044
sarawak,2017,642100,669300,0.9593605259226057,1.0423610029590407,13.372500891170741
sarawak,2018,654600,678700,0.9644909385590099,1.0368163764130767,13.391781168698524
sarawak,2019,667000,688100,0.9693358523470426,1.0316341829085458,13.410546824147012
sarawak,2020,618108,779062,0.7934002685280503,1.260397859273784,13.334420096292046
