state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
negeri sembilan,primary,male,2017,350,52117,2351,22.168013611229263,148.90571428571428,6.717142857142857,,,
negeri sembilan,primary,male,2018,350,52485,2299,22.8294910830796,149.95714285714286,6.5685714285714285,0.0,0.007061035746493466,-0.02211824755423224
negeri sembilan,primary,male,2019,350,53375,2272,23.492517605633804,152.5,6.491428571428571,0.0,0.016957225874059255,-0.0117442366246194
negeri sembilan,primary,male,2020,352,53946,2321,23.242567858681603,153.2556818181818,6.59375,0.005714285714285714,0.010697892271662764,0.021566901408450703
negeri sembilan,primary,male,2021,352,55378,2304,24.03559027777778,157.32386363636363,6.545454545454546,0.0,0.02654506358210062,-0.007324429125376993
negeri sembilan,primary,male,2022,353,56120,2307,24.32596445600347,158.9801699716714,6.5354107648725215,0.002840909090909091,0.013398822637148327,0.0013020833333333333
negeri sembilan,secondary_lower,female,2017,125,44678,5856,7.629439890710382,357.424,46.848,,,
negeri sembilan,secondary_lower,female,2018,125,40683,5927,6.864012147798212,325.464,47.416,0.0,-0.08941761045704821,0.01212431693989071
negeri sembilan,secondary_lower,female,2019,125,40098,5901,6.795119471276055,320.784,47.208,0.0,-0.014379470540520611,-0.00438670490973511
negeri sembilan,secondary_lower,female,2020,125,40237,5851,6.876944112117587,321.896,46.808,0.0,0.003466507057708614,-0.00847314014573801
negeri sembilan,secondary_lower,female,2021,125,40726,5726,7.112469437652812,325.808,45.808,0.0,0.01215299351343291,-0.02136386942403008
negeri sembilan,secondary_lower,female,2022,126,41088,5928,6.931174089068826,326.0952380952381,47.04761904761905,0.008,0.008888670628099985,0.035277680754453374
negeri sembilan,secondary_lower,male,2017,125,44050,2168,20.318265682656826,352.4,17.344,,,
negeri sembilan,secondary_lower,male,2018,125,40712,2177,18.70096463022508,325.696,17.416,0.0,-0.07577752553916005,0.004151291512915129
negeri sembilan,secondary_lower,male,2019,125,40180,2172,18.499079189686924,321.44,17.376,0.0,-0.013067400275103164,-0.0022967386311437757
negeri sembilan,secondary_lower,male,2020,125,40826,2116,19.293950850661627,326.608,16.928,0.0,0.016077650572424093,-0.02578268876611418
negeri sembilan,secondary_lower,male,2021,125,41900,2059,20.349684312773192,335.2,16.472,0.0,0.0263067652966247,-0.026937618147448016
negeri sembilan,secondary_lower,male,2022,126,42483,2059,20.63283147158815,337.1666666666667,16.341269841269842,0.008,0.013914081145584725,0.0
negeri sembilan,secondary_upper,female,2017,125,44678,5856,7.629439890710382,357.424,46.848,,,
negeri sembilan,secondary_upper,female,2018,125,40683,5927,6.864012147798212,325.464,47.416,0.0,-0.08941761045704821,0.01212431693989071
negeri sembilan,secondary_upper,female,2019,125,40098,5901,6.795119471276055,320.784,47.208,0.0,-0.014379470540520611,-0.00438670490973511
negeri sembilan,secondary_upper,female,2020,125,40237,5851,6.876944112117587,321.896,46.808,0.0,0.003466507057708614,-0.00847314014573801
negeri sembilan,secondary_upper,female,2021,125,40726,5726,7.112469437652812,325.808,45.808,0.0,0.01215299351343291,-0.02136386942403008
negeri sembilan,secondary_upper,female,2022,126,41088,5928,6.931174089068826,326.0952380952381,47.04761904761905,0.008,0.008888670628099985,0.035277680754453374
negeri sembilan,secondary_upper,male,2017,125,44050,2168,20.318265682656826,352.4,17.344,,,
negeri sembilan,secondary_upper,male,2018,125,40712,2177,18.70096463022508,325.696,17.416,0.0,-0.07577752553916005,0.004151291512915129
negeri sembilan,secondary_upper,male,2019,125,40180,2172,18.499079189686924,321.44,17.376,0.0,-0.013067400275103164,-0.0022967386311437757
negeri sembilan,secondary_upper,male,2020,125,40826,2116,19.293950850661627,326.608,16.928,0.0,0.016077650572424093,-0.02578268876611418
negeri sembilan,secondary_upper,male,2021,125,41900,2059,20.349684312773192,335.2,16.472,0.0,0.0263067652966247,-0.026937618147448016
negeri sembilan,secondary_upper,male,2022,126,42483,2059,20.63283147158815,337.1666666666667,16.341269841269842,0.008,0.013914081145584725,0.0
pahang,primary,female,2017,541,70786,9336,7.5820479862896315,130.84288354898337,17.256931608133087,,,
pahang,primary,female,2018,541,70922,10161,6.979824820391694,131.09426987061,18.7818853974122,0.0,0.001921283869691747,0.08836760925449871
pahang,primary,female,2019,542,71636,10010,7.1564435564435565,132.16974169741698,18.468634686346864,0.0018484288354898336,0.010067397986520402,-0.014860742052947545
pahang,primary,female,2020,543,72013,9967,7.225142971806963,132.62062615101289,18.355432780847146,0.0018450184501845018,0.005262717069629795,-0.004295704295704296
pahang,primary,female,2021,543,73551,9910,7.421897073662967,135.45303867403314,18.250460405156538,0.0,0.021357254940080263,-0.005718872278519113
pahang,primary,female,2022,543,74146,10047,7.379914402309147,136.548802946593,18.502762430939228,0.0,0.00808962488613343,0.013824419778002018
pahang,primary,male,2017,541,74331,4517,16.455833517821564,137.39556377079484,8.34935304990758,,,
pahang,primary,male,2018,541,74776,4563,16.387464387464387,138.2181146025878,8.434380776340111,0.0,0.005986735009619136,0.010183750276732344
pahang,primary,male,2019,542,75044,4480,16.75089285714286,138.45756457564576,8.265682656826568,0.0018484288354898336,0.0035840376591419706,-0.01818978742055665
pahang,primary,male,2020,543,75751,4489,16.8748050790822,139.50460405156537,8.267034990791897,0.0018450184501845018,0.009421139598102446,0.0020089285714285712
pahang,primary,male,2021,543,77120,4430,17.408577878103838,142.02578268876613,8.158379373848987,0.0,0.018072368681601562,-0.013143239028736913
pahang,primary,male,2022,543,77478,4432,17.48149819494585,142.68508287292818,8.16206261510129,0.0,0.004642116182572614,0.0004514672686230248
pahang,secondary_lower,female,2017,196,54647,7558,7.230351944958984,278.8112244897959,38.56122448979592,,,
pahang,secondary_lower,female,2018,197,48764,7727,6.310858030283422,247.53299492385787,39.223350253807105,0.00510204081632653,-0.10765458305121965,0.022360412807621063
pahang,secondary_lower,female,2019,198,48001,7711,6.225003242121645,242.42929292929293,38.94444444444444,0.005076142131979695,-0.015646788614551717,-0.0020706613174582634
pahang,secondary_lower,female,2020,198,48071,7747,6.205111656124951,242.7828282828283,39.12626262626262,0.0,0.001458302952021833,0.0046686551679419016
pahang,secondary_lower,female,2021,198,48922,7659,6.387517952735344,247.08080808080808,38.68181818181818,0.0,0.017702981007260095,-0.011359235833225765
pahang,secondary_lower,female,2022,198,49982,8035,6.220535158680772,252.43434343434345,40.58080808080808,0.0,0.021667143616368914,0.049092570831701265
pahang,secondary_lower,male,2017,196,54226,3759,14.42564511838255,276.66326530612247,19.178571428571427,,,
pahang,secondary_lower,male,2018,197,49719,3785,13.135799207397623,252.38071065989848,19.21319796954315,0.00510204081632653,-0.083115110832442,0.006916733173716414
