state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean
melaka,primary,female,2016,100.17,99.14,1.0300000000000011,2017,99.92,1.0900000000000034,-0.25,,,,,100.17,1.0300000000000011
melaka,primary,female,2017,99.92,98.83,1.0900000000000034,2018,99.17,0.6500000000000057,-0.75,100.17,1.0300000000000011,-0.25,0.060000000000002274,100.045,1.0600000000000023
melaka,primary,female,2018,99.17,98.52,0.6500000000000057,2019,100.3,1.5999999999999943,1.1299999999999955,99.92,1.0900000000000034,-0.75,-0.4399999999999977,99.545,0.8700000000000045
melaka,primary,female,2019,100.3,98.7,1.5999999999999943,2020,99.2,-0.09999999999999432,-1.0999999999999943,99.17,0.6500000000000057,1.1299999999999955,0.9499999999999886,99.735,1.125
melaka,primary,female,2020,99.2,99.3,-0.09999999999999432,2021,96.8,-3.700000000000003,-2.4000000000000057,100.3,1.5999999999999943,-1.0999999999999943,-1.6999999999999886,99.75,0.75
melaka,primary,female,2021,96.8,100.5,-3.700000000000003,2022,100.3,0.20000000000000284,3.5,99.2,-0.09999999999999432,-2.4000000000000057,-3.6000000000000085,98.0,-1.8999999999999986
melaka,primary,female,2022,100.3,100.1,0.20000000000000284,2023,,,,96.8,-3.700000000000003,3.5,3.9000000000000057,98.55,-1.75
melaka,primary,male,2016,97.73,97.64,0.09000000000000341,2017,97.87,0.5300000000000011,0.14000000000000057,,,,,97.73,0.09000000000000341
melaka,primary,male,2017,97.87,97.34,0.5300000000000011,2018,98.67,1.8100000000000023,0.7999999999999972,97.73,0.09000000000000341,0.14000000000000057,0.4399999999999977,97.80000000000001,0.3100000000000023
melaka,primary,male,2018,98.67,96.86,1.8100000000000023,2019,97.2,0.0,-1.4699999999999989,97.87,0.5300000000000011,0.7999999999999972,1.2800000000000011,98.27000000000001,1.1700000000000017
melaka,primary,male,2019,97.2,97.2,0.0,2020,97.7,0.10000000000000853,0.5,98.67,1.8100000000000023,-1.4699999999999989,-1.8100000000000023,97.935,0.9050000000000011
melaka,primary,male,2020,97.7,97.6,0.10000000000000853,2021,93.5,-4.0,-4.200000000000003,97.2,0.0,0.5,0.10000000000000853,97.45,0.05000000000000426
melaka,primary,male,2021,93.5,97.5,-4.0,2022,98.7,0.0,5.200000000000003,97.7,0.10000000000000853,-4.200000000000003,-4.1000000000000085,95.6,-1.9499999999999957
melaka,primary,male,2022,98.7,98.7,0.0,2023,,,,93.5,-4.0,5.200000000000003,4.0,96.1,-2.0
melaka,secondary_lower,female,2016,99.9568,97.0444,2.912400000000005,2017,99.2662,0.6129999999999995,-0.6906000000000034,,,,,99.9568,2.912400000000005
melaka,secondary_lower,female,2017,99.2662,98.6532,0.6129999999999995,2018,100.0305,2.349400000000003,0.7643000000000058,99.9568,2.912400000000005,-0.6906000000000034,-2.2994000000000057,99.6115,1.7627000000000024
