state,stage,sex,input_year,target_year,svr_forecast_prediction,rf_forecast_prediction,forecast_prediction_difference_svr_minus_rf,absolute_forecast_prediction_difference,evaluation_status
terengganu,secondary_upper,female,2022,2023,99.70179085039156,97.15866238656731,2.543128463824246,2.543128463824246,Non-evaluable without actual next-year target
terengganu,secondary_upper,male,2022,2023,98.65328437111532,96.05435284345076,2.5989315276645613,2.5989315276645613,Non-evaluable without actual next-year target
wp_kuala_lumpur,primary,female,2022,2023,95.6608847757295,94.56646575023532,1.094419025494176,1.094419025494176,Non-evaluable without actual next-year target
wp_kuala_lumpur,primary,male,2022,2023,93.68520019219186,92.56132004931509,1.1238801428767715,1.1238801428767715,Non-evaluable without actual next-year target
wp_kuala_lumpur,secondary_lower,female,2022,2023,97.1554717856059,97.43564757192055,-0.28017578631465767,0.28017578631465767,Non-evaluable without actual next-year target
wp_kuala_lumpur,secondary_lower,male,2022,2023,95.0977533497824,95.97196675404476,-0.8742134042623633,0.8742134042623633,Non-evaluable without actual next-year target
wp_kuala_lumpur,secondary_upper,female,2022,2023,96.64723717648276,93.71618955155128,2.9310476249314803,2.9310476249314803,Non-evaluable without actual next-year target
wp_kuala_lumpur,secondary_upper,male,2022,2023,94.50069787710946,93.51086803694298,0.9898298401664789,0.9898298401664789,Non-evaluable without actual next-year target
wp_labuan,primary,female,2022,2023,95.24650858725153,93.99055373015418,1.2559548570973504,1.2559548570973504,Non-evaluable without actual next-year target
wp_labuan,primary,male,2022,2023,94.10721233461926,92.217243744204,1.8899685904152648,1.8899685904152648,Non-evaluable without actual next-year target
wp_labuan,secondary_lower,female,2022,2023,97.646855813595,100.3477247524681,-2.7008689388731,2.7008689388731,Non-evaluable without actual next-year target
wp_labuan,secondary_lower,male,2022,2023,97.29410142903008,98.64069218777732,-1.34659075874724,1.34659075874724,Non-evaluable without actual next-year target
wp_labuan,secondary_upper,female,2022,2023,97.03785639069449,93.54083519512432,3.49702119557017,3.49702119557017,Non-evaluable without actual next-year target
wp_labuan,secondary_upper,male,2022,2023,96.86974728585852,96.138588425992,0.7311588598665253,0.7311588598665253,Non-evaluable without actual next-year target
wp_putrajaya,primary,female,2022,2023,96.98122089255222,95.91810326828946,1.063117624262759,1.063117624262759,Non-evaluable without actual next-year target
wp_putrajaya,primary,male,2022,2023,96.629833958141,95.54418439645296,1.0856495616880437,1.0856495616880437,Non-evaluable without actual next-year target
wp_putrajaya,secondary_lower,female,2022,2023,99.82444570231618,101.26935958329688,-1.4449138809806925,1.4449138809806925,Non-evaluable without actual next-year target
wp_putrajaya,secondary_lower,male,2022,2023,98.02322102465332,98.95992235563445,-0.9367013309811227,0.9367013309811227,Non-evaluable without actual next-year target
wp_putrajaya,secondary_upper,female,2022,2023,98.30279960426644,93.64324755568404,4.659552048582398,4.659552048582398,Non-evaluable without actual next-year target
wp_putrajaya,secondary_upper,male,2022,2023,97.84740839140808,94.55484452385885,3.2925638675492337,3.2925638675492337,Non-evaluable without actual next-year target
